[2025-05-30 18:18:25] User: SYSTEM | Action: BOT_START | Details: 
[2025-05-30 18:19:02] User: 7073749415 | Action: STATUS_CHECK | Details: 
[2025-05-30 18:19:11] User: 7073749415 | Action: MANUAL_BACKUP | Details: backups/manual_20250530_181911
[2025-05-30 18:35:06] User: SYSTEM | Action: BOT_START | Details: 
[2025-05-30 18:37:44] User: SYSTEM | Action: BOT_START | Details: 
[2025-05-30 18:38:42] User: 7073749415 | Action: CHATAI_START | Details: 
[2025-05-31 05:14:44] User: SYSTEM | Action: BOT_START | Details: 
[2025-05-31 05:15:08] User: 7073749415 | Action: CHATAI_START | Details: 
[2025-05-31 08:02:34] User: SYSTEM | Action: BOT_START | Details: 
[2025-05-31 08:03:04] User: 7073749415 | Action: CHATAI_START | Details: 
[2025-05-31 08:04:27] User: SYSTEM | Action: BOT_START | Details: 
[2025-05-31 08:05:01] User: 7073749415 | Action: CHATAI_START | Details: 
[2025-05-31 08:09:11] User: SYSTEM | Action: BOT_START | Details: 
[2025-05-31 08:14:47] User: SYSTEM | Action: BOT_START | Details: 
[2025-05-31 08:16:03] User: 7073749415 | Action: CHATAI_START | Details: 
[2025-05-31 08:21:05] User: 7073749415 | Action: CHATAI_START | Details: 
[2025-05-31 08:22:28] User: SYSTEM | Action: BOT_START | Details: 
[2025-05-31 08:23:41] User: SYSTEM | Action: BOT_START | Details: 
[2025-05-31 08:24:03] User: 7073749415 | Action: CHATAI_START | Details: 
[2025-05-31 09:14:40] User: SYSTEM | Action: BOT_START | Details: 
[2025-05-31 09:15:58] User: SYSTEM | Action: BOT_START | Details: 
[2025-05-31 09:17:54] User: SYSTEM | Action: BOT_START | Details: 
[2025-05-31 09:19:14] User: SYSTEM | Action: BOT_START | Details: 
[2025-05-31 09:20:06] User: SYSTEM | Action: BOT_START | Details: 
[2025-05-31 09:20:10] User: SYSTEM | Action: BOT_START | Details: 
[2025-05-31 09:21:01] User: 7073749415 | Action: CHATAI_START | Details: 
[2025-05-31 09:25:11] User: 7386902902 | Action: CHATAI_START | Details: 
[2025-05-31 11:17:07] User: SYSTEM | Action: BOT_START | Details: 
[2025-05-31 11:17:07] User: SYSTEM | Action: BOT_START | Details: 
[2025-05-31 11:18:41] User: 7073749415 | Action: CHATAI_START | Details: 
[2025-05-31 11:18:52] User: 7073749415 | Action: STATUS_CHECK | Details: 
[2025-05-31 11:24:41] User: 7073749415 | Action: STATUS_CHECK | Details: 
[2025-05-31 11:24:52] User: 7073749415 | Action: STATUS_CHECK | Details: 
[2025-05-31 12:11:35] User: SYSTEM | Action: BOT_START | Details: 
[2025-05-31 12:11:35] User: SYSTEM | Action: BOT_START | Details: 
[2025-05-31 12:11:36] User: 7073749415 | Action: CHATAI_START | Details: 
[2025-05-31 12:16:58] User: SYSTEM | Action: BOT_START | Details: 
[2025-05-31 12:16:58] User: SYSTEM | Action: BOT_START | Details: 
[2025-05-31 12:17:56] User: 7073749415 | Action: BROADCAST_MESSAGE | Details: Success: 2, Failed: 0
[2025-05-31 15:08:15] User: SYSTEM | Action: BOT_START | Details: 
[2025-05-31 15:08:15] User: SYSTEM | Action: BOT_START | Details: 
[2025-05-31 15:11:32] User: 7073749415 | Action: GRANT_PERMISSION | Details: 7444696176
[2025-05-31 15:13:14] User: 7444696176 | Action: CHATAI_START | Details: 
[2025-05-31 15:17:19] User: SYSTEM | Action: BOT_START | Details: 
[2025-05-31 15:17:19] User: SYSTEM | Action: BOT_START | Details: 
[2025-05-31 15:21:05] User: SYSTEM | Action: BOT_START | Details: 
[2025-05-31 15:21:05] User: SYSTEM | Action: BOT_START | Details: 
[2025-05-31 15:21:59] User: 7073749415 | Action: GRANT_PERMISSION | Details: 6480351477
[2025-05-31 15:23:06] User: SYSTEM | Action: BOT_START | Details: 
[2025-05-31 15:23:06] User: SYSTEM | Action: BOT_START | Details: 
[2025-05-31 15:27:14] User: SYSTEM | Action: BOT_START | Details: 
[2025-05-31 15:27:14] User: SYSTEM | Action: BOT_START | Details: 
[2025-05-31 15:30:51] User: 7073749415 | Action: GRANT_PERMISSION | Details: 6480351477
[2025-05-31 15:34:21] User: 7073749415 | Action: CHATAI_START | Details: 
[2025-05-31 15:37:27] User: 7073749415 | Action: START_BOT | Details: 
[2025-05-31 15:37:55] User: 7073749415 | Action: GRANT_PERMISSION | Details: 7386902902
[2025-05-31 15:43:15] User: SYSTEM | Action: BOT_START | Details: 
[2025-05-31 15:43:15] User: SYSTEM | Action: BOT_START | Details: 
[2025-05-31 15:49:41] User: 7444696176 | Action: CHATAI_START | Details: 
[2025-05-31 15:58:58] User: 7073749415 | Action: START_BOT | Details: 
[2025-05-31 16:09:02] User: 5416146404 | Action: START_BOT | Details: 
[2025-05-31 16:09:19] User: 5416146404 | Action: START_BOT | Details: 
[2025-05-31 16:38:46] User: 7073749415 | Action: CHATAI_START | Details: 
